ET,NEE,dayind
1.04440981,-1.565153327,585
1.364813185,-3.523101418,586
1.417508401,-4.021740273,587
1.352090452,-2.307173733,588
1.286645532,-3.123791352,589
1.07734958,-3.231559624,590
0.960758603,-3.329313017,591
0.999690728,-3.121512764,592
1.099653901,-3.089930561,593
1.117437849,-3.641962052,594
1.110717759,-3.409640989,595
0.692581499,-0.217952017,596
0.833552624,-2.309231263,597
0.354645586,-1.312859967,598
0.809514187,-1.925648371,599
0.923325985,-3.228802845,600
0.993414857,-2.16314917,601
0.976184492,-2.096717493,602
0.420608681,0.978198168,603
1.194659917,-2.514954343,604
0.326181771,0.707633059,605
0.298798292,-0.635263098,606
1.021281806,-2.436478634,607
0.536988769,0.175659273,608
0.596842191,-0.212783687,609
0.807840651,-1.180325698,610
0.46743685,0.271121887,611
0.749106606,-0.338089087,763
0.627782174,-1.182820092,764
0.853810625,0.714183442,765
0.875061584,1.007409133,766
0.39464311,2.493371892,767
0.359314605,1.08560174,768
0.83585187,0.77970245,769
0.674385638,0.640645009,770
0.54957375,1.519186761,771
1.024105946,1.196133364,772
1.026369343,0.900974001,773
0.907758923,0.999069633,774
0.942888436,-0.122152137,775
0.913620584,1.445563359,776
1.102810629,0.743682282,777
1.124721573,1.405729268,778
0.466468637,1.969947368,779
0.208779021,0.780086422,780
1.248692418,0.419632033,781
0.758994994,0.537730826,782
0.92941403,0.217863032,783
1.107020493,0.35454215,784
1.145277777,0.335146682,785
1.132710723,0.289789098,786
1.189406377,0.171325045,787
1.123730401,0.3340581,788
0.962462893,-0.102143827,789
1.302710033,-0.372775966,790
1.413488216,-1.577009764,791
1.536199646,-0.558523019,792
1.540718576,-2.193156284,793
1.779539749,-2.459812459,794
1.715794813,-1.972898146,795
1.775493772,-2.99144099,796
2.007358069,-3.01058503,797
2.424691803,-5.311798143,798
2.038895229,-4.085782353,799
1.952002692,-5.102059124,800
1.163304347,-1.20209025,801
1.226590479,-3.309696514,802
1.54572667,-5.244928818,803
1.169499506,-2.939156475,804
1.304070615,-3.882273871,805
2.668777032,-5.707949172,806
1.829750487,-4.821958526,807
1.587270187,-6.194770408,808
2.363619848,-5.96034915,809
2.328241251,-4.752968146,810
2.823172525,-3.781561774,811
2.632292063,-5.900095852,812
2.682579337,-4.624669894,813
2.749052499,-5.311749444,814
2.207601292,-6.402457872,815
2.759117831,-5.652678504,816
3.436855355,-5.225836608,817
2.883722535,-6.233365179,818
2.876684215,-6.784710132,819
2.9682324,-6.112192515,820
2.747033979,-7.067968122,821
3.111148745,-7.288310412,822
2.947545241,-5.999743736,823
2.706202114,-6.163608185,824
2.747579675,-5.441189868,825
2.468057589,-5.168414121,826
2.649456659,-4.669589998,827
2.943239777,-4.892032044,828
1.598927369,-3.462906064,829
0.095264483,0.172451221,830
3.485705988,-7.122690222,831
2.767174278,-7.419259995,832
2.803697067,-5.868904909,833
2.732202322,-4.095235649,834
2.941283088,-6.485982168,835
2.431812424,-8.096417599,836
2.573698817,-6.580693123,837
2.603075305,-6.056171066,838
2.648826426,-6.266547243,839
3.17490422,-6.097367371,840
2.561796147,-3.693704479,841
2.612284243,-6.026519795,842
2.635809811,-4.335418533,843
2.695801239,-4.624501587,844
2.181713354,-5.360841546,845
2.745386968,-4.030336944,846
0.883732768,-0.873453389,847
1.450515617,-5.346070088,848
1.664717866,-3.835448148,849
2.655718602,-7.904859247,850
2.813100884,-7.088844195,851
2.631953735,-6.86499358,852
2.341310381,-6.548477804,853
1.01521551,-1.82107947,854
0.433046311,-1.02570114,855
0.47753523,-0.190953343,856
2.817748577,-5.773402929,857
2.83639076,-6.135950389,858
2.859828054,-7.059806917,859
0.438040161,-2.135936052,860
0.52666763,0.045330482,861
0.703843802,-4.376658338,862
0.133950263,4.189103483,863
2.56626907,-6.720511393,864
2.476812969,-6.060626469,865
2.421710068,-7.024356389,866
3.201298055,-7.080350196,867
0.051492281,1.03097939,868
0.528000055,-4.034857479,869
1.697766161,-6.725162627,870
1.031616709,-3.150808822,871
3.084195098,-7.859870871,872
2.458534392,-7.718414644,873
2.346589559,-6.521853984,874
1.009570315,-1.899006595,875
0.210157958,4.057321369,876
0.204214744,0.917064688,877
3.056506795,-6.869365252,878
0.690180071,2.356198116,879
2.781859472,-6.017364646,880
0.07231667,1.946180614,881
1.413816125,-3.888409899,882
2.307130414,-5.58414412,883
0.260479724,-0.052843368,884
2.251568566,-7.526014027,885
2.663435302,-6.772919479,886
3.339935297,-6.270412696,887
3.659379023,-6.983806183,888
3.868804393,-5.295427408,889
1.571070998,-5.280953862,890
2.921705323,-6.480435238,891
2.597324309,-7.233597217,892
1.131489681,-3.329314653,893
0.184811987,-0.662816738,894
1.920921727,-4.225245853,895
3.376780961,-6.876185875,896
1.578206662,-4.93746475,897
0.897299705,-3.514549398,898
0.001202144,1.63436783,899
0.432111764,-2.636652068,900
1.316552719,-5.235611034,901
1.957291691,-7.247588779,902
0.890348564,-4.001077663,903
0.092263789,1.170689808,904
0.326839373,-1.547049312,905
2.227863266,-7.363159021,906
0.415993314,-1.722344928,907
0.09467645,2.017233726,908
3.345210727,-8.652538571,909
3.250848217,-5.228861445,910
1.246220835,-3.372579063,911
1.03782119,-4.717509847,912
2.426249296,-5.23634253,913
1.628183928,-3.003824146,914
3.135622769,-7.107920256,915
3.60984352,-4.613802126,916
3.075330996,-5.931083114,917
3.146817138,-5.047811643,918
2.940542622,-4.577387439,919
0.840535534,-1.12751211,920
0.880378898,-1.42027788,921
1.626982282,-3.61167135,922
2.23407091,-4.422819682,923
2.450248143,-5.256497583,924
1.026670261,-2.093204416,925
0.591647261,-1.064921682,926
1.872621497,-4.809744335,927
3.236185879,-5.393239394,928
2.458680995,-4.703735391,929
2.659172657,-5.398838779,930
1.876588674,-4.564438952,931
2.407410773,-4.171713698,932
1.754007616,-3.553493843,933
0.719723074,-1.729514765,934
2.235230982,-3.302573716,935
2.110621359,-3.598782566,936
2.002553965,-5.632050774,937
1.117703503,-4.116131427,938
0.640736581,-2.719258803,939
1.315248866,-4.390742917,940
1.83659353,-4.642469654,941
1.075355493,-2.166127065,942
2.241625692,-2.82154682,943
2.074618616,-4.345547362,944
1.404710366,-4.538043804,945
0.523108734,-0.843546111,946
1.463278629,-1.952901787,947
1.086774605,-3.370700039,948
1.748295919,-3.823325898,949
1.403759949,-4.35276326,950
0.676918578,-1.92980002,951
1.429526249,-3.199299028,952
1.728094597,-3.900941448,953
1.39070374,-3.145793949,954
0.522921235,-0.832710093,955
0.769630161,0.035468776,956
0.604564033,-0.628885707,957
1.376687504,-3.901696405,958
1.681913025,-2.428016865,959
1.351634425,-2.726618325,960
0.918729174,-2.266055159,961
1.420977509,-2.903438185,962
0.808555642,-1.177312307,963
1.198331234,-1.952390972,964
1.174167749,-1.452137893,965
1.067838334,-1.380755465,966
1.483335908,-2.713757993,967
1.166986771,-1.430102222,968
0.81473144,-0.82583287,969
0.763466831,-1.34335173,970
0.786440709,-1.569705001,971
0.709474768,-0.994809811,972
0.664899755,0.137275334,973
0.759936162,-1.007795376,974
0.891927517,0.084957832,975
0.581984563,0.050263507,976
0.454318548,1.292992217,1128
0.768703689,0.626282876,1129
0.551841546,0.647503094,1130
0.889569678,1.183908048,1131
0.727330657,2.317870935,1132
1.185102387,-0.314635131,1133
1.140518141,-0.953651692,1134
0.997404286,-0.020494535,1135
1.834539589,-1.051077241,1136
1.20502155,0.409237265,1137
1.399934764,0.159982991,1138
1.229161612,-0.23333405,1139
0.865516027,0.238312839,1140
0.712900475,2.483324642,1141
1.241288074,-0.619742312,1142
1.111736032,-0.713281392,1143
1.100796842,0.443603816,1144
1.078835857,0.309364613,1145
1.144696142,-0.285665297,1146
1.09512467,0.61907056,1147
1.712343571,0.593424771,1148
0.988508375,2.072443526,1149
0,3.260092022,1150
1.322088988,-0.586393199,1151
1.604291517,0.249095074,1152
1.432452066,-0.57586682,1153
1.556552282,-1.734741126,1154
1.850208002,-2.149728668,1155
1.934576767,-1.551136715,1156
1.588816616,-1.901762538,1157
1.377482265,-2.404816646,1158
0.685687893,1.293268501,1159
2.456567588,-4.58207979,1160
3.090740676,-4.386400497,1161
2.329825141,-3.825545011,1162
0.69432231,0.776314574,1163
1.779139608,-2.779843149,1164
1.96477738,-5.637241527,1165
2.172404915,-5.141445867,1166
2.244226479,-6.276480833,1167
1.660363234,-1.599981177,1168
0.769519626,-1.499569344,1169
1.841242318,-4.872345653,1170
2.22276901,-4.463750981,1171
2.810068654,-3.212976294,1172
0.856638867,-2.401988186,1173
1.146421661,-3.217921107,1174
0.706219089,-2.274986111,1175
3.053400542,-8.461852251,1176
1.56806555,-1.953905627,1177
2.571522138,-7.133524715,1178
1.91072651,-6.928071688,1179
3.540433389,-9.587071736,1180
3.762586575,-9.586769321,1181
3.013506061,-7.007138063,1182
3.33627524,-6.010792993,1183
2.171627412,-6.951509144,1184
3.387547069,-7.338610366,1185
2.393099075,-6.554357554,1186
2.382729178,-5.700270722,1187
3.324921506,-8.717160215,1188
3.419134083,-5.520102269,1189
3.743248465,-5.504555864,1190
3.472597131,-7.020741081,1191
3.696692643,-8.768982367,1192
4.097406074,-7.659010634,1193
3.432753888,-8.507268152,1194
2.738542994,-8.244487721,1195
2.734174743,-7.312675389,1196
3.123012328,-7.786097293,1197
2.394191739,-5.866271922,1198
2.499843281,-7.139582849,1199
3.192503721,-7.125771958,1200
2.994784636,-8.521168169,1201
1.977367383,-4.601574586,1202
3.582442146,-10.15356463,1203
3.282100419,-7.295191378,1204
1.913546723,-6.946882667,1205
3.382917899,-7.179293094,1206
2.688653249,-8.015316275,1207
2.845021718,-6.163213448,1208
